billno,billstatus,creator.number,creator.name,modifier.number,modifier.name,auditor.number,auditor.name,auditdate,modifytime,createtime,lb77_counselor.number,lb77_counselor.name,modifierfield.number,modifierfield.name,modifydatefield,lb77_day_of_week,lb77_start_time,lb77_end_time
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周一,32400,36000
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周一,36000,39600
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周一,50400,54000
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周三,32400,36000
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周三,36000,39600
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周三,54000,57600
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周三,57600,61200
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周五,50400,54000
SCH001,已审核,,,,,,,,,,COUN001,赵静姝,,,,周五,54000,57600
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周二,32400,36000
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周二,36000,39600
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周二,50400,54000
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周二,54000,57600
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周四,32400,36000
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周四,36000,39600
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周四,50400,54000
SCH002,已审核,,,,,,,,,,COUN002,刘振宇,,,,周四,54000,57600
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周一,50400,54000
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周一,54000,57600
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周一,57600,61200
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周三,50400,54000
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周三,54000,57600
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周三,57600,61200
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周五,32400,36000
SCH003,已审核,,,,,,,,,,COUN003,陈曦,,,,周五,36000,39600
SCH004,已审核,,,,,,,,,,COUN004,周海涛,,,,周二,50400,54000
SCH004,已审核,,,,,,,,,,COUN004,周海涛,,,,周二,54000,57600
SCH004,已审核,,,,,,,,,,COUN004,周海涛,,,,周四,50400,54000
SCH004,已审核,,,,,,,,,,COUN004,周海涛,,,,周四,54000,57600
SCH004,已审核,,,,,,,,,,COUN004,周海涛,,,,周五,57600,61200
SCH004,已审核,,,,,,,,,,COUN004,周海涛,,,,周五,61200,64800 
